cookie,Flow Duration,Total Fwd Packets,Total Length of Fwd Packets,priority,Flow Bytes/s,Flow Packets/s,Average Packet Size,switch,timestamp,collection_time,label
0x0,10.167,2,140,1,13.77004032654667,0.1967148618078096,70.0,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.155,3,238,1,23.43673067454456,0.29542097488921715,79.33333333333333,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.153,2,140,1,13.789027873534915,0.19698611247907022,70.0,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.139,3,238,1,23.47371535654404,0.29588716835979884,79.33333333333333,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.138,2,140,1,13.80942986782403,0.19727756954034326,70.0,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.128,3,238,1,23.499210110584517,0.2962085308056872,79.33333333333333,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.125,2,140,1,13.82716049382716,0.19753086419753085,70.0,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.264,40,3016,0,293.842556508184,3.8971161340607954,75.4,s1,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.182,2,140,1,13.749754468670202,0.19642506383814573,70.0,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.173,3,238,1,23.39526196795439,0.29489826010026543,79.33333333333333,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.169,2,140,1,13.767332087717572,0.1966761726816796,70.0,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.158,3,238,1,23.429809017523137,0.2953337271116362,79.33333333333333,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.153,2,140,1,13.789027873534915,0.19698611247907022,70.0,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.148,3,238,1,23.452897122585732,0.29562475364603863,79.33333333333333,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.141,2,140,1,13.805344640567991,0.1972192091509713,70.0,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.129,3,238,1,23.49689011748445,0.29617928719518216,79.33333333333333,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.126,2,140,1,13.825794983211535,0.19751135690302193,70.0,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,10.28,40,3016,0,293.3852140077821,3.891050583657588,75.4,s2,2025-03-12 16:42:51,1741777971.6390855,BENIGN
0x0,15.221,2,140,1,9.197818802969582,0.131397411470994,70.0,s1,2025-03-12 16:42:56,1741777976.6786304,BENIGN
